screen_name,last_name,first_name,full_name,gender,type,state,party,announced
MichaelBennet,Bennet,Michael,Michael Bennet,M,sen,CO,Democrat,2019-05-02
JoeBiden,Biden,Joe,Joe Biden,M,none,DE,Democrat,2019-04-25
CoryBooker,Booker,Cory,Cory Booker,M,sen,NJ,Democrat,2019-02-01
PeteButtigieg,Buttigieg,Pete,Pete Buttigieg,M,none,IN,Democrat,2019-01-23
GovernorBullock,Bullock,Steve,Steve Bullock,M,none,MT,Democrat,2019-05-14
JulianCastro,Castro,Julián,Julián Castro,M,none,TX,Democrat,2019-01-12
BilldeBlasio,de Blasio,Bill,Bill de Blasio,M,none,NY,Democrat,2019-05-16
JohnDelaney,Delaney,John,John Delaney,M,none,MD,Democrat,2017-07-28
TulsiGabbard,Gabbard,Tulsi,Tulsi Gabbard,F,rep,HI,Democrat,2019-01-11
SenGillibrand,Gillibrand,Kirsten,Kirsten Gillibrand,F,sen,NY,Democrat,2019-03-17
KamalaHarris,Harris,Kamala,Kamala Harris,F,sen,CA,Democrat,2019-01-21
Hickenlooper,Hickenlooper,John,John Hickenlooper,M,none,CO,Democrat,2019-03-04
JayInslee,Inslee,Jay,Jay Inslee,M,none,WA,Democrat,2019-03-01
amyklobuchar,Klobuchar,Amy,Amy Klobuchar,F,sen,MN,Democrat,2019-02-10
WayneMessam,Messam,Wayne,Wayne Messam,M,none,FL,Democrat,2019-03-28
sethmoulton,Moulton,Seth,Seth Moulton,M,rep,MA,Democrat,2019-04-22
BetoORourke,O'Rourke,Beto,Beto O'Rourke,M,none,TX,Democrat,2019-03-14
TimRyan,Ryan,Tim,Tim Ryan,M,rep,OH,Democrat,2019-04-04
BernieSanders,Sanders,Bernie,Bernie Sanders,M,sen,VT,Democrat,2019-02-19
ericswalwell,Swalwell,Eric,Eric Swalwell,M,rep,CA,Democrat,2019-04-09
ewarren,Warren,Elizabeth,Elizabeth Warren,F,sen,MA,Democrat,2019-02-09
marwilliamson,Williamson,Marianne,Marianne Williamson,F,none,CA,Democrat,2019-01-28
AndrewYang,Yang,Andrew,Andrew Yang,M,none,NY,Democrat,2017-11-06
